pdb,execution_time
pdb4ys6_A_hinge_8_sigma1.5.pdb,0.128339
pdb4ys6_A_hinge_0_sigma1.5.pdb,0.21499
pdb4ys6_A_hinge_3_sigma1.5.pdb,0.176947
pdb4ys6_A_hinge_2_sigma1.5.pdb,0.161412
pdb4ys6_A_hinge_9_sigma1.0.pdb,0.412848
pdb2mab_A_hinge_1_sigma1.0.pdb,0.203709
pdb2mab_A_hinge_3_sigma1.0.pdb,0.16179
pdb2mab_A_hinge_0_sigma1.5.pdb,0.112155
pdb2mab_A_hinge_2_sigma1.0.pdb,0.160279
pdb2mab_A_hinge_4_sigma1.0.pdb,0.13353
pdb2mab_A_hinge_2_sigma1.5.pdb,0.113256
pdb2mab_A_hinge_0_sigma1.0.pdb,0.191143
pdb2mab_A_hinge_3_sigma1.5.pdb,0.121566
pdb2mab_A_hinge_1_sigma0.5.pdb,0.164616
pdb2mab_A_hinge_2_sigma0.5.pdb,0.186318
pdb2mab_A_hinge_0_sigma0.5.pdb,0.182769
pdb2mab_A_hinge_3_sigma0.5.pdb,0.204822
pdb2mab_A_hinge_1_sigma1.5.pdb,0.132113
pdb2mab_A_hinge_4_sigma1.5.pdb,0.069778
pdb2mab_A_hinge_4_sigma0.5.pdb,0.160422
pdb5q9d_A_hinge_6_sigma1.5.pdb,0.115822
pdb5q9d_A_hinge_3_sigma1.5.pdb,0.114593
pdb5q9d_A_hinge_1_sigma1.0.pdb,0.472401
pdb5q9d_A_hinge_8_sigma1.5.pdb,0.173286
pdb5q9d_A_hinge_8_sigma0.5.pdb,0.691564
pdb5q9d_A_hinge_0_sigma0.5.pdb,0.817278
pdb5q9d_A_hinge_7_sigma0.5.pdb,0.789467
pdb5q9d_A_hinge_7_sigma1.0.pdb,0.473819
pdb5q9d_A_hinge_4_sigma1.5.pdb,0.225474
pdb5q9d_A_hinge_2_sigma1.5.pdb,0.285
pdb5q9d_A_hinge_9_sigma0.5.pdb,0.809889
pdb5q9d_A_hinge_7_sigma1.5.pdb,0.238846
pdb5q9d_A_hinge_3_sigma0.5.pdb,0.748099
pdb5q9d_A_hinge_9_sigma1.0.pdb,0.460873
